Date,Inflation Rate,Unemployment Rate,10 Year Tbill Rate,E-Commerce
2006/01/01,0.0076,0.047,0.0442,15811
2006/02/01,0.002,0.048,0.0457,14531
2006/03/01,0.0055,0.047,0.0473,17046
2006/04/01,0.0085,0.047,0.0499,15024
2006/05/01,0.005,0.046,0.0511,16071
2006/06/01,0.002,0.046,0.0511,15795
2006/07/01,0.003,0.047,0.0509,14768
2006/08/01,0.002,0.047,0.0487,16897
2006/09/01,-0.0049,0.045,0.0472,16050
2006/10/01,-0.0054,0.044,0.0473,17497
2006/11/01,-0.0015,0.045,0.046,19037
2006/12/01,0.0015,0.044,0.0457,23724
2007/01/01,0.0031,0.046,0.0476,17664
2007/02/01,0.0054,0.045,0.0472,18090
2007/03/01,0.0091,0.044,0.0456,18259
2007/04/01,0.0065,0.045,0.0469,18143
2007/05/01,0.0061,0.044,0.0475,18440
2007/06/01,0.0019,0.046,0.0511,18546
2007/07/01,-0.0003,0.047,0.05,18943
2007/08/01,-0.0018,0.046,0.0467,18767
2007/09/01,0.0028,0.047,0.0452,18887
2007/10/01,0.0021,0.047,0.0453,19153
2007/11/01,0.0059,0.047,0.0414,19514
2007/12/01,-0.0007,0.05,0.041,19000
2008/01/01,0.005,0.05,0.0374,18651
2008/02/01,0.0029,0.049,0.0374,17400
2008/03/01,0.0087,0.051,0.0351,17985
2008/04/01,0.0061,0.05,0.0368,18677
2008/05/01,0.0084,0.054,0.0388,18621
2008/06/01,0.0101,0.056,0.041,18128
2008/07/01,0.0053,0.058,0.0401,18590
2008/08/01,-0.004,0.061,0.0388,18126
2008/09/01,-0.0014,0.061,0.0369,18546
2008/10/01,-0.0101,0.065,0.0382,19067
2008/11/01,-0.0192,0.068,0.0353,18998
2008/12/01,-0.0103,0.073,0.024,26453
2009/01/01,0.0044,0.078,0.0252,18177
2009/02/01,0.005,0.083,0.0287,16779
2009/03/01,0.0024,0.087,0.0282,18457
2009/04/01,0.0025,0.09,0.0294,17894
2009/05/01,0.0029,0.094,0.033,17772
2009/06/01,0.0086,0.095,0.0372,18637
2009/07/01,-0.0016,0.095,0.0356,18570
2009/08/01,0.0022,0.096,0.0359,18696
2009/09/01,0.0006,0.098,0.034,19164
2009/10/01,0.001,0.1,0.034,19740
2009/11/01,0.0007,0.099,0.034,22001
2009/12/01,-0.0018,0.099,0.036,29738
2010/01/01,0.0034,0.098,0.0373,19565
2010/02/01,0.0002,0.098,0.0369,18420
2010/03/01,0.0041,0.099,0.0373,21630
2010/04/01,0.0017,0.099,0.0385,20387
2010/05/01,0.0008,0.096,0.0342,20021
2010/06/01,-0.001,0.094,0.032,21027
2010/07/01,0.0002,0.094,0.0301,19875
2010/08/01,0.0014,0.095,0.027,21601
2010/09/01,0.0006,0.095,0.0265,21327
2010/10/01,0.0012,0.094,0.0254,21387
2010/11/01,0.0004,0.098,0.0277,25274
2010/12/01,0.0017,0.093,0.0331,32974
2011/01/01,0.0048,0.091,0.0339,22219
2011/02/01,0.0049,0.09,0.0358,20666
2011/03/01,0.0098,0.09,0.0341,23814
2011/04/01,0.0064,0.091,0.0345,21954
2011/05/01,0.0047,0.09,0.0317,23132
2011/06/01,-0.0011,0.091,0.03,23111
2011/07/01,0.0009,0.09,0.0299,21665
2011/08/01,0.0028,0.09,0.0228,24423
2011/09/01,0.0015,0.09,0.0197,23447
2011/10/01,-0.0021,0.088,0.0215,24091
2011/11/01,-0.0008,0.086,0.0201,29238
2011/12/01,-0.0025,0.085,0.0197,36937
2012/01/01,0.0044,0.083,0.0197,24739
2012/02/01,0.0044,0.083,0.0197,24202
2012/03/01,0.0076,0.082,0.0218,25943
2012/04/01,0.003,0.082,0.0205,24432
2012/05/01,-0.0012,0.082,0.018,26384
2012/06/01,-0.0015,0.082,0.0163,25035
2012/07/01,-0.0016,0.082,0.0153,25015
2012/08/01,0.0056,0.081,0.0168,27379
2012/09/01,0.0045,0.078,0.0172,25451
2012/10/01,-0.0004,0.078,0.0175,27483
2012/11/01,-0.0047,0.077,0.0165,32751
2012/12/01,-0.0027,0.079,0.0172,39841
2013/01/01,0.003,0.08,0.0191,28098
2013/02/01,0.0082,0.077,0.0198,25253
2013/03/01,0.0026,0.075,0.0196,27283
2013/04/01,-0.001,0.076,0.0175,27401
2013/05/01,0.0018,0.075,0.0194,28055
2013/06/01,0.0024,0.075,0.023,26165
2013/07/01,0.0004,0.073,0.0259,27457
2013/08/01,0.0012,0.072,0.0274,28336
2013/09/01,0.0012,0.072,0.0281,27345
2013/10/01,-0.0026,0.072,0.0261,28736
2013/11/01,-0.002,0.069,0.0272,32568
2013/12/01,-0.0001,0.067,0.029,43790
2014/01/01,0.0037,0.066,0.0286,29423
2014/02/01,0.0037,0.067,0.0271,30227
2014/03/01,0.0064,0.067,0.0272,31420
2014/04/01,0.0033,0.063,0.027,31178
2014/05/01,0.0035,0.063,0.0256,31513
2014/06/01,0.0019,0.061,0.026,32341
2014/07/01,-0.0004,0.062,0.0255,32311
2014/08/01,-0.0017,0.062,0.0242,32610
2014/09/01,0.0008,0.059,0.0253,32780
2014/10/01,-0.0025,0.057,0.023,33364
2014/11/01,-0.0054,0.058,0.0233,33597
2014/12/01,-0.0057,0.056,0.0221,33922
2015/01/01,-0.0047,0.057,0.0188,31741
2015/02/01,0.0043,0.055,0.0197,29933
2015/03/01,0.006,0.055,0.0204,34096
2015/04/01,0.002,0.054,0.0193,33521
2015/05/01,0.0051,0.055,0.022,33188
2015/06/01,0.0035,0.053,0.0236,33793
2015/07/01,0.0001,0.052,0.0232,34616
2015/08/01,-0.0014,0.051,0.0217,34257
2015/09/01,-0.0016,0.05,0.0217,34855
2015/10/01,-0.0004,0.05,0.0207,35928
2015/11/01,-0.0021,0.05,0.0226,41812
2015/12/01,-0.0034,0.05,0.0224,55952
