date, dc_sales, dc_profits, inflation, unemployment, tbill, natsales, dc_sales_chg, dc_profits_chg, natsales_chg
2008-06-01,62818486,7867240,0.0101,0.056,0.041,18128,62818485.0,7867239.0,18127.0
2008-07-01,67453529,8121902,0.0053,0.058,0.0401,18590,0.07378469770825104,0.03236992897127836,0.025485436893203883
2008-08-01,65244809,7886332,-0.004,0.061,0.0388,18126,-0.03274432090869553,-0.029004289881852798,-0.024959655728886497
2008-09-01,62132001,7364126,-0.0014,0.061,0.0369,18546,-0.047709665300729134,-0.06621658839622781,0.023171135385633895
2008-10-01,63783514,7625787,-0.0101,0.065,0.0382,19067,0.02658071482358986,0.035531847228034937,0.028092311010460478
2008-11-01,64409817,7961180,-0.0192,0.068,0.0353,18998,0.009819198735271938,0.04398142775296504,-0.0036188178528347406
2008-12-01,63847152,7617200,-0.0103,0.073,0.024,26453,-0.00873570250944821,-0.0432071627572797,0.39240972733971996
2009-01-01,127332617,15833428,0.0044,0.078,0.0252,18177,0.9943351114549323,1.078641495562674,-0.31285676482818586
2009-02-01,107890180,13187701,0.005,0.083,0.0287,16779,-0.15269015479356715,-0.16709754830097437,-0.07691038125103153
2009-03-01,117647570,14706564,0.0024,0.087,0.0282,18457,0.09043816592019774,0.11517269006933051,0.1000059598307408
2009-04-01,119918039,14777073,0.0025,0.09,0.0294,17894,0.019298902646268,0.004794389770445361,-0.03050333206913366
2009-05-01,126488204,15274920,0.0029,0.094,0.033,17772,0.054788796204380895,0.03369050149512018,-0.006817927797026936
2009-06-01,158781684,19283895,0.0086,0.095,0.0372,18637,0.255308234118021,0.2624547297138054,0.04867206842223723
2009-07-01,163669666,20063671,-0.0016,0.095,0.0356,18570,0.030784293735038104,0.040436644153061405,-0.003594999195149434
2009-08-01,166880014,20844516,0.0022,0.096,0.0359,18696,0.01961480143791581,0.038918351482139034,0.00678513731825525
2009-09-01,162138324,19685466,0.0006,0.098,0.034,19164,-0.028413767990216013,-0.05560455325515833,0.02503209242618742
2009-10-01,161612084,19610447,0.001,0.1,0.034,19740,-0.003245623779853553,-0.003810882607503424,0.03005635566687539
2009-11-01,159947789,19593620,0.0007,0.099,0.034,22001,-0.010298085135762497,-0.00085806305180091,0.11453900709219858
2009-12-01,166142631,20556855,-0.0018,0.099,0.036,29738,0.03873040095602697,0.04916064514877802,0.3516658333712104
2010-01-01,239876378,28990122,0.0034,0.098,0.0373,19565,0.44379787749960453,0.41024110935257363,-0.34208756473199275
2010-02-01,213315611,26150203,0.0002,0.098,0.0369,18420,-0.11072689700192155,-0.09796160913017199,-0.05852287247636085
2010-03-01,238070141,28654790,0.0041,0.099,0.0373,21630,0.11604649975664463,0.09577696203735014,0.1742671009771987
2010-04-01,231269722,28320972,0.0017,0.099,0.0385,20387,-0.028564770749642223,-0.011649640426609303,-0.0574664817383264
2010-05-01,239353717,28447817,0.0008,0.096,0.0342,20021,0.03495483511672142,0.0044788363902199405,-0.017952616863687643
2010-06-01,417500386,51876256,-0.001,0.094,0.032,21027,0.7442820242478206,0.8235584122324746,0.050247240397582535
2010-07-01,427630170,51817367,0.0002,0.094,0.0301,19875,0.02426293325630602,-0.0011351821534692096,-0.054786702810671994
2010-08-01,432659046,52080114,0.0014,0.095,0.027,21601,0.01175987185375625,0.005070635873876031,0.08684276729559748
2010-09-01,421893769,51592534,0.0006,0.095,0.0265,21327,-0.024881663978892053,-0.009362114683543128,-0.012684597935280774
2010-10-01,435926906,53236581,0.0012,0.094,0.0254,21387,0.03326225232778918,0.031865986656131294,0.0028133352088901393
2010-11-01,425013152,52353880,0.0004,0.098,0.0277,25274,-0.025035743033489197,-0.016580722943120633,0.18174592041894608
2010-12-01,433510327,52755763,0.0017,0.093,0.0331,32974,0.019992734248374507,0.007676279198408981,0.30466091635673026
2011-01-01,500421996,60192542,0.0048,0.091,0.0339,22219,0.15434850067597122,0.14096619169359753,-0.32616607023715655
2011-02-01,440555184,53294527,0.0049,0.09,0.0358,20666,-0.11963265499624441,-0.11459916412900455,-0.0698951347945452
2011-03-01,495223720,61241948,0.0098,0.09,0.0341,23814,0.12409009809767668,0.14912264818486898,0.15232749443530436
2011-04-01,474246463,57846242,0.0064,0.091,0.0345,21954,-0.04235915234431824,-0.055447387140591935,-0.07810531620055429
2011-05-01,503528716,61021575,0.0047,0.09,0.0317,23132,0.061744799981776566,0.054892641081161334,0.0536576478090553
2011-06-01,569172539,69055647,-0.0011,0.091,0.03,23111,0.13036758562941622,0.13165953189507154,-0.0009078333045132285
2011-07-01,583195018,70807089,0.0009,0.09,0.0299,21665,0.024636604964527284,0.025362762874410544,-0.06256760849811778
2011-08-01,595382103,72805934,0.0028,0.09,0.0228,24423,0.020897100667619215,0.028229447478062542,0.12730210016155089
2011-09-01,578340059,69876357,0.0015,0.09,0.0197,23447,-0.028623708899089967,-0.0402381624552746,-0.03996233059001761
2011-10-01,588383976,70765687,-0.0021,0.088,0.0215,24091,0.017366801492822062,0.012727194693335258,0.027466200366784665
2011-11-01,579279782,70878230,-0.0008,0.086,0.0201,29238,-0.015473218801594284,0.0015903611590741711,0.21364825038396082
2011-12-01,586763385,71926856,-0.0025,0.085,0.0197,36937,0.012918805787010879,0.014794754327245474,0.2633217046309597
2012-01-01,836933916,101907073,0.0044,0.083,0.0197,24739,0.4263567519639965,0.41681534085126704,-0.3302379727644367
2012-02-01,822664380,99284441,0.0044,0.083,0.0197,24202,-0.017049776245416252,-0.02573552475597057,-0.021706617082339626
2012-03-01,874745888,106408746,0.0076,0.082,0.0218,25943,0.06330832994130607,0.0717565101665829,0.07193620361953558
2012-04-01,908189807,111356756,0.003,0.082,0.0205,24432,0.03823272502196661,0.04650003111586335,-0.058243071348726055
2012-05-01,941270911,113246829,-0.0012,0.082,0.018,26384,0.03642531962484358,0.016973132730267394,0.07989521938441388
2012-06-01,391451575,46994162,-0.0015,0.082,0.0163,25035,-0.5841244317386538,-0.5850288929502829,-0.05112947240751971
2012-07-01,423665649,51786601,-0.0016,0.082,0.0153,25015,0.08229389292915733,0.10197945438414244,-0.000798881565807869
2012-08-01,432435198,52848448,0.0056,0.081,0.0168,27379,0.02069922123896337,0.02050428063428994,0.09450329802118729
2012-09-01,433581516,53122938,0.0045,0.078,0.0172,25451,0.002650843421862251,0.005193908437954507,-0.0704189342196574
2012-10-01,502423446,61335698,-0.0004,0.078,0.0175,27483,0.1587750571913218,0.15459913004058623,0.07983969195709402
2012-11-01,486255152,59245792,-0.0047,0.077,0.0165,32751,-0.03218061204890506,-0.034073240676253495,0.1916821307717498
2012-12-01,495858482,60479766,-0.0027,0.079,0.0172,39841,0.019749569666256205,0.02082804463142294,0.2164819394827639
2013-01-01,1302797200,162573914,0.003,0.08,0.0191,28098,1.6273568917189563,1.688071147629771,-0.294746617805778
2013-02-01,1352358644,169192803,0.0082,0.077,0.0198,25253,0.038042332298534265,0.04071310603987796,-0.10125275820343085
2013-03-01,1474620822,184265051,0.0026,0.075,0.0196,27283,0.09040662293426359,0.08908326910335541,0.0803864887340118
2013-04-01,1545742680,192063531,-0.001,0.076,0.0175,27401,0.04823060744764121,0.04232207875382728,0.0043250375691822746
2013-05-01,3206820724,193215556,0.0018,0.075,0.0194,28055,1.0746148537478437,0.005998145478227202,0.023867742053209736
